game,game_version,solver,run_id,strategy_snapshot_id,iteration,seed,elapsed_training_seconds,iteration_seconds,traversal_seconds,advantage_training_seconds,strategy_training_seconds,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss,player_zero_advantage_samples_retained,player_zero_advantage_samples_seen,player_one_advantage_samples_retained,player_one_advantage_samples_seen,strategy_samples_retained,strategy_samples_seen,process_rss_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,free_disk_bytes
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,66,20260811,23493.90514985798,359.3128898909781,15.40726815792732,315.54404446599074,0.0,0.9688101410865784,5.352352619171143,3.3459970951080322,3.574906826019287,,,4062822,4062822,9161540,9161540,10000000,18637736,11437322240,303094784,522190848,163463619859
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,67,20260811,23826.550229689805,362.1917780919466,15.500982164172456,317.1440559788607,0.0,0.9637793898582458,5.293638706207275,3.295210123062134,3.5539584159851074,,,4117916,4117916,9289893,9289893,10000000,18907987,11453235200,303094784,522190848,163385654352
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,68,20260811,24162.16921326681,365.296967352042,15.11826762324199,320.5006766289007,0.0,0.9426972270011902,5.1829071044921875,3.1923153400421143,3.3765616416931152,,,4174000,4174000,9418829,9418829,10000000,19180290,11587256320,303094784,522190848,163307020203
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,69,20260811,24494.252495745895,2076.734258940909,15.155747997108847,316.9274973932188,0.0,0.9137460589408875,5.212955951690674,3.2721550464630127,3.3553569316864014,,,4228421,4228421,9553639,9553639,10000000,19455404,11682078720,303094784,522190848,163226596179
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_70,70,20260811,24926.05966566177,1014.9536518929526,15.847313364036381,318.15637576323934,97.80341732804663,0.91556316614151,4.977453231811523,3.1287782192230225,3.2800023555755615,0.19812330603599548,0.20759135484695435,4286111,4286111,9698223,9698223,10000000,19750045,11812413440,303094784,522190848,163127170602
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,71,20260811,25259.62380642374,363.5316708430182,15.925345618277788,317.6387189999223,0.0,0.9063906073570251,4.986198902130127,3.1718249320983887,3.321202278137207,,,4340380,4340380,9839245,9839245,10000000,20032682,11915927552,296370688,515899392,163050898095
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,72,20260811,25592.326553043677,363.512381156208,16.371375301852822,316.33130280999467,0.0,0.8875062465667725,4.940249443054199,3.0854427814483643,3.2517292499542236,,,4395233,4395233,9995542,9995542,10000000,20336057,11931959296,303094784,522190848,162961158508
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,73,20260811,25925.832743241685,364.39854208682664,15.457663152134046,318.0484906269703,0.0,0.8768407702445984,4.87872314453125,3.5323100090026855,3.609499454498291,,,4455532,4455532,10000000,10123181,10000000,20612070,11963572224,303094784,522190848,162933636294
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,74,20260811,26262.170539598912,939.1793143940158,16.43059724289924,319.9071251938585,0.0,0.8647409677505493,4.769468784332275,4.137447357177734,4.421659469604492,,,4512690,4512690,10000000,10274162,10000000,20912356,11920449536,303094784,522190848,162909343460
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,75,20260811,26597.22040081001,364.9839297661092,16.01484956801869,319.03496031393297,0.0,0.8481326103210449,4.705507278442383,4.922175407409668,5.251964092254639,,,4569273,4569273,10000000,10417098,10000000,21202995,11941437440,303094784,522190848,162885295136
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,76,20260811,26928.59434057516,361.5457143790554,15.57215050025843,315.8017537880223,0.0,0.8432022929191589,4.709011554718018,5.338989734649658,6.0985918045043945,,,4625043,4625043,10000000,10554923,10000000,21487248,11964526592,303094784,522190848,162861592412
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,77,20260811,27258.74631950818,360.554120112909,15.756620188010857,314.39532793709077,0.0,0.8283362984657288,4.629870414733887,6.0016961097717285,6.483676433563232,,,4681275,4681275,10000000,10697133,10000000,21776921,11989712896,303094784,522190848,162837693175
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,78,20260811,27593.838227915112,366.34925392083824,15.563081990694627,319.52879100083373,0.0,0.811447024345398,4.518141269683838,6.557122707366943,7.121689796447754,,,4742830,4742830,10000000,10828593,10000000,22056748,12079017984,303094784,522190848,162811531826
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,79,20260811,27929.5492648473,366.6920302580111,16.152345887152478,319.55865385499783,0.0,0.8056738972663879,4.4799394607543945,7.193698406219482,7.682943344116211,,,4800005,4800005,10000000,10978072,10000000,22356735,12104527872,303094784,522190848,162787231916
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_80,80,20260811,28362.037775305333,463.48531088908203,16.442904563853517,318.5377870921511,97.50776544190012,0.7874813675880432,4.330728054046631,7.569155216217041,8.449268341064453,0.20944024622440338,0.21907645463943481,4855196,4855196,10000000,11124862,10000000,22652745,12172414976,303094784,522190848,162750316574
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,81,20260811,28695.66518182936,365.03121930686757,16.14499598206021,317.4823380250018,0.0,0.7767491936683655,4.275889873504639,8.021215438842773,8.679945945739746,,,4909874,4909874,10000000,11272169,10000000,22943577,12106608640,296370688,515899392,162733804387
